Tabela;Relação;Tabela;
up_users[data.id];1?1;up_users_chute_moeda_lnk[data.user_id];
up_users[data.id];1?1;pesquisa_experiencias_users_permissions_user_lnk[data.user_id];
up_users[data.id];1??;numero_da_sortes_users_permissions_user_lnk[data.user_id];
up_users[data.id];1??;checkins_users_permissions_user_lnk[data.user_id];
up_users[data.id];1?1;resgates_users_permissions_user_lnk[data.user_id];
up_users[data.id];1??;avaliacao_de_ativacaos_users_permissions_user_lnk[data.user_id];
chute_moedas[data.id];1?1;up_users_chute_moeda_lnk[data.chute_moedar_id];
pesquisa_experiencias[data.id];1??;pesquisa_experiencias_users_permissions_user_lnk[data.pesquisa_experiencias_id];
numero_da_sortes[data.id];1?1;numero_da_sortes_users_permissions_user_lnk[data.numero_da_sorte_id];
checkins[data.id];1?1;checkins_users_permissions_user_lnk[data.checkin_id];
checkins[data.id];1??;checkins_ativacao_lnk[data.checkin_id];
ativacoes[data.id];1??;checkins_ativacao_lnk[data.ativacao_id];
ativacoes[data.id];1?1;ativacoes_evento_lnk[data.ativacao_id];
eventos[data.id];1??;ativacoes_evento_lnk[data.evento_id];
eventos[data.id];1?1;eventos_cliente_lnk;
clientes[data.id];1?1;eventos_cliente_lnk;
ativacoes[data.id];1??;avaliacao_de_ativacaos_ativacao_lnk[data.ativacao_id];
avaliacao_de_ativacaos[data.id];1??;avaliacao_de_ativacaos_ativacao_lnk[data.avaliacao_de_ativacao_id];
avaliacao_de_ativacaos[data.id];1??;avaliacao_de_ativacaos_users_permissions_user_lnk[data.avaliacao_de_ativacao_id];
resgates[data.id];1?1;resgates_users_permissions_user_lnk[data.resgate_id];
resgates[data.id];1??;resgates_brinde_lnk[data.resgate_id];
brindes[data.id];1??;resgates_brinde_lnk[data.brinde_id];
